,CBLOF,COPOD,ECOD,FeatureBagging,HBOS,IForest,kNN,LODA,LOF,MCD,OCSVM,PCA,DAGMM,DeepSVDD,DROCC,GOAD,ICL,PlanarFlow,DDPM,DTE-NP,DTE-IG,DTE-C,odim,oneclasssvm,lof,if,copod,ecod,deepsvdd,rsrae
cardiotocography,56.09(2.47),66.42(3.42),78.4(0.22),53.79(1.73),59.5(1.09),68.09(2.61),50.3(0.49),70.8(13.23),52.67(2.09),49.99(0.49),69.13(0.43),74.66(0.68),54.6(6.58),48.8(5.25),44.9(4.67),62.42(12.71),37.2(2.07),64.25(6.21),57.86(4.27),49.28(0.7),50.62(6.64),51.03(2.7),56.94%,78.46%,57.56%,68.25%,68.95%,78.56%,50.70%,64.73%
celeba,75.34(1.76),75.7(0.62),76.31(0.65),51.39(2.7),75.41(0.65),70.72(1.27),73.58(0.38),59.97(11.91),43.21(1.22),80.25(3.67),78.11(0.7),79.23(0.61),62.66(3.98),49.12(17.53),72.57(0.97),43.2(12.41),68.35(2.27),70.32(11.86),79.58(1.88),69.87(0.51),69.96(4.42),81.22(1.54),83.03%,69.62%,42.43%,68.29%,75.07%,75.71%,41.56%,65.34%
census,66.4(0.18),50.0(0.0),50.0(0.0),53.75(0.31),61.09(0.34),60.73(2.15),67.08(0.26),45.44(13.11),56.2(0.61),73.12(2.05),65.46(0.18),66.15(0.16),49.07(0.64),52.7(5.12),44.31(2.74),48.8(5.06),66.76(0.69),60.36(1.36),65.87(0.14),67.2(0.27),62.87(3.68),64.64(1.14),65.87%,,,,67.49%,66.05%,55.94%,56.01%
cover,92.24(0.17),88.2(0.32),91.85(0.2),57.14(2.15),70.68(1.16),87.32(2.69),86.57(2.41),92.18(3.85),56.75(1.89),69.58(0.9),95.2(0.16),93.39(0.25),74.15(14.15),58.04(22.39),74.69(22.59),12.37(7.08),68.07(5.04),41.68(7.76),80.76(1.65),83.81(2.71),63.52(7.37),69.68(4.69),83.69%,91.45%,55.26%,89.43%,88.47%,92.08%,52.20%,82.01%
donors,80.77(0.71),81.53(0.27),88.83(0.32),69.06(1.74),74.31(0.63),77.08(1.5),82.9(0.42),56.62(38.02),62.89(1.35),76.48(7.46),77.02(0.67),82.5(0.94),55.76(15.63),51.11(24.73),74.66(13.89),22.45(11.53),73.92(4.79),89.89(1.85),80.63(1.88),83.23(0.45),79.55(10.75),78.49(7.9),78.16%,73.29%,61.93%,78.41%,81.58%,88.94%,,47.55%
fault,66.5(2.51),45.49(0.16),46.81(0.19),59.1(1.16),50.62(6.66),54.39(1.01),71.52(0.62),47.78(2.34),57.88(1.35),50.5(1.2),53.69(0.3),47.97(0.55),49.54(5.92),52.22(2.87),66.84(2.7),54.63(4.8),66.05(1.1),46.87(3.43),56.22(0.95),72.55(0.3),57.74(5.42),58.95(3.36),,,,,,,,
fraud,95.39(0.81),94.29(1.42),94.89(1.27),61.59(7.15),94.51(1.22),94.95(1.15),95.5(1.13),85.55(5.41),54.77(7.3),91.13(1.91),95.37(0.72),95.23(0.72),85.71(5.32),76.91(6.34),50.0(0.0),72.4(22.06),93.09(1.05),89.48(2.1),92.37(1.37),95.6(1.18),94.18(1.16),93.78(1.29),91.86%,94.92%,47.67%,95.41%,95.14%,95.44%,50.48%,88.55%
glass,85.5(4.18),75.95(1.51),71.04(3.41),65.86(12.47),82.02(1.77),78.95(3.72),87.03(1.1),62.43(12.75),61.76(12.42),79.47(1.22),66.07(6.69),71.51(2.1),62.99(16.27),51.69(18.75),74.29(16.19),54.46(20.97),72.85(5.65),76.62(8.46),56.04(9.11),88.13(1.24),68.05(23.1),86.39(4.15),72.46%,26.50%,80.16%,71.38%,56.88%,60.03%,81.53%,47.97%
hepatitis,63.47(14.61),80.74(0.93),73.7(1.73),46.94(11.14),76.77(1.57),68.29(1.42),66.94(7.9),55.74(15.73),46.77(8.48),72.05(2.95),70.38(1.52),74.78(2.64),60.0(9.71),36.08(22.07),58.18(4.23),63.65(22.94),61.64(3.75),65.42(7.96),46.12(8.03),63.1(2.79),45.14(13.88),57.69(9.3),,,,,,,,
http,99.61(0.03),99.07(0.26),97.96(0.1),28.82(1.45),99.11(0.16),99.95(0.08),5.05(1.98),5.95(9.35),33.75(1.07),99.95(0.01),99.36(0.05),99.66(0.03),83.81(35.3),24.89(42.35),50.0(0.0),99.56(0.04),92.11(7.15),99.38(0.05),99.76(0.16),5.06(1.99),97.33(4.05),99.51(0.21),,,,,,,,
imdb,49.56(0.21),51.2(0.04),47.05(0.03),49.89(0.54),49.86(0.08),48.93(0.66),49.44(0.14),46.6(2.52),50.02(0.55),50.36(0.21),48.39(0.13),47.82(0.06),48.68(0.29),52.56(4.11),49.95(0.12),48.58(1.58),52.07(0.36),49.29(0.76),47.79(0.11),49.49(0.3),48.61(4.27),48.44(2.75),,,,,,,,
internetads,61.55(0.12),67.61(0.07),67.66(0.06),49.42(4.74),69.56(0.04),68.61(1.81),61.62(0.08),54.06(5.45),58.73(1.53),65.96(4.33),61.52(0.07),60.91(0.22),51.48(2.63),58.3(4.5),50.0(1.4),61.41(0.35),59.21(1.26),60.78(0.48),61.37(0.03),63.42(0.33),63.53(3.89),65.58(2.8),,,,,,,,
